Time,soc_R00229,soc_R00230,soc_R00231,soc_R00232,soc_R00233,soc_R00234,soc_R00235,soc_R00236,soc_R00237,soc_R00238,soc_R00239,soc_R00240
2024-06-28 19:30:00,406.7442014963055,601.9085446365654,524.9633759657822,457.2495502572537,596.5104329865836,573.5326840602643,599.9616018625737,573.5326060494968,537.4685940707054,606.266479529432,473.8191486156744,590.8006210367608
2024-06-28 20:00:00,336.96137381082764,601.9085446365654,559.9880388041602,510.3610848707467,608.0,503.2318746618486,599.9616018577761,573.5326060495005,537.4685940729623,540.9831575685733,523.7424041713301,590.8006210367608
2024-06-28 20:30:00,296.8707954679863,607.8308836565997,559.9880388041602,550.9969352894345,538.9137364167084,555.1293393906936,608.0,573.5326060494916,556.3090093788844,591.7139445355062,452.02367299488947,521.0832833644877
2024-06-28 21:00:00,256.55951985473087,607.9977260364612,559.9880388038131,601.3928325245436,568.0591693114291,484.26009346974627,608.0,606.4689108045532,556.3090093757651,522.0288527959541,505.2589205835592,521.0832833703873
2024-06-28 21:30:00,216.03143561117753,542.7775892646683,601.93824258535,607.808365247342,568.0591693205857,508.8094358630139,542.7799466451447,607.9743557855893,601.0368247761123,454.23378619037464,554.3751067761316,564.9766192584856
2024-06-28 22:00:00,216.03143560524873,542.777589262445,607.8321417484071,542.5812933625849,603.7015402607352,547.9659497726611,564.6711245025406,607.9996641158442,607.7920767072217,504.60903823621106,487.41891134119965,564.9766192584856
2024-06-28 22:30:00,216.03143559931993,576.3921455934551,607.9977434655667,557.3214015160286,603.7015402607352,552.548121147844,564.6711245047868,608.0,607.7920767072223,556.4666329173613,414.8883962207174,564.9766192584856
2024-06-28 23:00:00,216.03143559339114,576.3921455912318,607.9999705761966,557.3214015160285,603.7015402578331,567.0054551213618,578.1458515772513,542.7799466767061,607.9971846468229,489.5698482668845,466.0576857780844,603.0629347447821
2024-06-28 23:30:00,216.03143558746234,605.2110495616203,542.779915959889,570.714996454658,607.8992408548353,567.0054551159616,605.4881959195218,590.8006329882104,542.7770281359732,421.07302372194954,516.1646796428817,607.8766656239351
2024-06-29 00:00:00,216.03143558153351,607.9447961094397,570.4639845914363,602.2266714138145,542.675496488064,579.937525488879,605.4881959195218,598.0332168666505,542.7770281372583,347.4434701294392,567.6796726381708,608.0
2024-06-29 00:30:00,216.03143557560472,607.9447961072165,570.4639845906025,602.2266714135019,545.3062840295719,579.9375254868637,605.4881959195234,602.3245947000132,552.2395957661628,399.65161624162414,501.1125670495486,608.0
2024-06-29 01:00:00,216.03143556967592,607.9992729864106,604.1697332774901,602.2266714165928,560.5398977970383,579.9375254757458,607.9519658114145,607.8481211790779,557.6195418673964,451.0893467690599,432.85030377497947,542.7799466195
2024-06-29 01:30:00,216.0314355637471,538.912981650786,608.0,608.0,574.6699204785629,607.2024505524415,538.8638688386609,538.7560629164811,603.7836661544998,377.9041884109524,486.5150933292393,593.4514192164229
2024-06-29 02:00:00,216.0314355578183,587.0531791880514,608.0,542.779946645089,604.9251213234062,607.9880599614513,545.9634046455141,538.7560629169782,603.7836661544973,429.6897231080902,417.95881659334447,593.4514192164229
2024-06-29 02:30:00,216.0314355518895,587.0531791858282,607.9999999991662,542.7799466447764,604.925121323289,607.9880599611424,583.4282954267194,538.7560629092507,607.9020017703946,360.2036252891697,469.0714443648243,593.4514192164229
2024-06-29 03:00:00,216.0314355459607,587.0531791836049,538.9137364109519,548.6958678719415,608.0,608.0,601.6593866493095,589.5598968798337,608.0,415.1707245032,396.1925493285569,608.0
2024-06-29 03:30:00,216.0314355400319,606.6763600115671,587.0539107829532,573.676858616697,608.0,538.9137364118175,608.0,607.9236361535939,538.9137362626936,469.1984416408325,322.2462736895505,608.0
2024-06-29 04:00:00,216.03143553410308,607.978495707749,606.6764424556342,573.67685862651,542.7799464638418,552.1062288913741,607.9999999992745,607.9989903947849,587.0539106239925,519.2318177636216,251.5914112149431,542.7799466124386
2024-06-29 04:30:00,216.03143552817428,607.9997185560786,606.6764424555928,573.6768586285739,542.7799464646162,552.1062288916645,608.0,607.9999868517923,606.676442422044,451.37099600420265,304.7504010873862,542.7799466124386
2024-06-29 05:00:00,216.0314355222455,607.9997185538554,606.676442454759,573.6768586282612,542.779946464499,552.1062288916205,538.9137364117788,607.9999868517923,606.6764424221269,461.3344611489338,360.41721722530394,542.7799466124386
2024-06-29 05:30:00,269.45293899150715,542.7796548872279,606.6764424498728,573.676858628267,542.7799464664323,552.1062288923455,562.269087709406,538.9137227543931,606.6764424116092,473.3841395623842,415.38117884745736,542.7799466124386
2024-06-29 06:00:00,322.4675706005546,590.8003501435961,541.4080387635388,573.676858628267,542.7799464683656,552.2616191948915,579.9361723862335,538.913722760818,606.676442411573,513.2351406285043,440.9073116125649,590.8006328811829
2024-06-29 06:30:00,374.9721978185216,590.8003501435961,552.8129678302479,573.6768586219996,542.7799464683721,582.5129710662336,579.9361723833977,589.7124026306208,537.539814667494,564.83834957203,440.9073116125649,590.800632871804
2024-06-29 07:00:00,426.8015806297475,590.8003501435961,602.7334592930462,604.2351051894797,593.4514187387434,607.4405244730664,579.9361723833977,589.7124026300091,537.5398146672647,576.6774630661149,491.5682654976164,595.6618392246005
2024-06-29 07:30:00,460.5804023022248,590.8003501435965,602.7334592922998,604.2351051891998,607.3014899327887,607.9919472355831,579.9361723808054,589.7124026300095,537.5398146705292,576.6774630673391,543.7951946506972,608.0
2024-06-29 08:00:00,492.898578862809,590.8003501435965,607.8642514576567,604.2351051890951,607.301489932597,607.991947235348,605.7565126485902,606.9595039306247,585.7220884980734,605.2571032355744,543.7951946442203,608.0
2024-06-29 08:30:00,524.7480183067628,590.8003501435965,608.0,608.0,607.3014899266467,608.0,605.7565126489611,608.0,607.6912045166888,605.2571032355744,543.795194648066,608.0
2024-06-29 09:00:00,540.2028130088378,590.8003501435954,608.0,608.0,607.3014899266904,608.0,608.0,608.0,607.9957432020667,607.9460131985936,591.7842549212019,608.0
2024-06-29 09:30:00,571.4845848734307,524.9740935768409,550.8399884565428,542.7799466475993,542.0558839772881,542.7799466759668,558.6478864979799,550.8399883146427,542.7755338885249,542.7239818851674,607.1571302365799,542.7799465770439
2024-06-29 10:00:00,571.48458484535,573.5325355956368,598.6067543225836,552.2396683874072,590.0990624168131,590.8006329635164,491.813754208624,598.606754217857,552.2395585692282,552.7181510869727,607.9872888499556,571.2208355739328
